Du paysage français , puisque qu'elles n ' auront aucun mal à aller s ' installer ailleurs , « dans les pays qui ont une politique industrielle agressive d'aide à l'investissement , comme l'Italie , les ex-pays de l'Est , l'Irlande , l'Espagne ... » Et de mettre en cause la future « régionalisation » qui pourrait peser sur la fiscalité des entreprises : actuellement , la taxe professionnelle ne peut augmenter plus que la moyenne des trois autres taxes .	Du paysage français , puisque qu'elles n ' auront aucun mal à aller s ' installer ailleurs , « dans les pays qui ont une politique industrielle agressive d'aide à l'investissement , comme l'Italie , les ex-pays de l'Est , l'Irlande , l'Espagne ... » Et de mettre en cause la future « régionalisation » qui pourrait peser sur la fiscalité des entreprises : actuellement , la taxe professionnelle ne peut augmenter plus que la moyenne des trois autres taxes .	s1:53	régionalisation	s2:56	pourrait	BEFORE
Alors que la métropole compte 58.416.500 habitants et les quatre départements d'outre - mer 1.665.500 , les premiers résultats du recensement de mars - avril , qui devraient être affinés d' ici la fin de l'année , confirment les tendances observées depuis vingt ans : l' urbanisation , loin de ralentir , connaît une nouvelle accélération .	Alors que la métropole compte 58.416.500 habitants et les quatre départements d'outre - mer 1.665.500 , les premiers résultats du recensement de mars - avril , qui devraient être affinés d' ici la fin de l'année , confirment les tendances observées depuis vingt ans : l' urbanisation , loin de ralentir , connaît une nouvelle accélération .	s1:52	connaît	s2:55	accélération	IDENTITY
Ainsi , Jérôme Conreaux et Rémy Absalon ont signé un joli doublé tandis que Estelle Vuillemin s ' est imposée chez les féminines ( 27e au scratch ) .	Ainsi , Jérôme Conreaux et Rémy Absalon ont signé un joli doublé tandis que Estelle Vuillemin s ' est imposée chez les féminines ( 27e au scratch ) .	s1:19	imposée	s2:24	27e	IDENTITY
L'OM menait pourtant 1 - 0 à la pause et les Héraultais ne s ' étaient procuré qu'une occasion .	L'OM menait pourtant 1 - 0 à la pause et les Héraultais ne s ' étaient procuré qu'une occasion .	s1:16	procuré	s2:18	occasion	IDENTITY
En 1995 , Hervé Mangin a installé une petite supérette où les résidents peuvent se procurer tout ce do nt ils ont besoin .	En 1995 , Hervé Mangin a installé une petite supérette où les résidents peuvent se procurer tout ce do nt ils ont besoin .	s1:6	installé	s2:13	peuvent	BEFORE
Circoncision radicale .	Un Egyptien avait décidé de faire circoncire son fils dans un hôpital plutôt que chez un praticien traditionnel , pour ne courir aucun risque .	s1:0	Circoncision	s2:6	circoncire	IDENTITY
Les opérations de l'armée visent particulièrement le Hamas , qui s ' oppose à l' appel à une trêve de l' Intifada pendant un an , lancé vendredi par Mahmoud Abbas , bras droit de Yasser Arafat .	Les opérations de l'armée visent particulièrement le Hamas , qui s ' oppose à l' appel à une trêve de l' Intifada pendant un an , lancé vendredi par Mahmoud Abbas , bras droit de Yasser Arafat .	s1:1	opérations	s2:4	visent	DURING
Cinq vitrines brisées , un container brûlé , une quinzaine de jardinières arrachées et jetées dans la Mortagne , trois tentatives de vol de voitures et un véhicule incendié , une effraction et du vol d'outillage à la piscine municipale , des dégradations en série : la liste des méfaits et exactions commis entre 0 h 30 et 4 h mardi ressemble à une litanie sans fin ... « La bande , armée de manches de pioche et de gourdins , a semé le trouble dans la bourgade » : le substitut Weyland a requis la sévérité .	Cinq vitrines brisées , un container brûlé , une quinzaine de jardinières arrachées et jetées dans la Mortagne , trois tentatives de vol de voitures et un véhicule incendié , une effraction et du vol d'outillage à la piscine municipale , des dégradations en série : la liste des méfaits et exactions commis entre 0 h 30 et 4 h mardi ressemble à une litanie sans fin ... « La bande , armée de manches de pioche et de gourdins , a semé le trouble dans la bourgade » : le substitut Weyland a requis la sévérité .	s1:12	arrachées	s2:49	méfaits	DURING
Dans le choc , un des passagers de Florian Désoteux , Philippe Céric , 30 ans , demeurant à Laneuville - au - Rupt , a été éjecté du véhicule et a été retrouvé mort par les sauveteurs .	Dans le choc , un des passagers de Florian Désoteux , Philippe Céric , 30 ans , demeurant à Laneuville - au - Rupt , a été éjecté du véhicule et a été retrouvé mort par les sauveteurs .	s1:27	éjecté	s2:33	retrouvé	BEFORE
Ils font maintenant figure de favoris pour une place en finale de conférence Est. .	Ils font maintenant figure de favoris pour une place en finale de conférence Est. .	s1:1	font	s2:10	finale	BEFORE
Monique , qui était née à Valleroy - aux - Saules le 6 mars 1941 , a habité à Haréville - sous - Montfort où elle a connu Jean Grandvallet .	Ils se sont mariés le 1er mai 1962 , et de leur union sont nés deux enfants : Michèle , mariée à Denis Larché , demeurant à Senonges et Alain , agriculteur au village , marié à Sabine Saint - Michel .	s1:27	connu	s2:3	mariés	BEFORE
Après Claudia Schiffer et son idylle avec Citroën , Carla Bruni prête son image à un grand constructeur automobile .	Après Claudia Schiffer et son idylle avec Citroën , Carla Bruni prête son image à un grand constructeur automobile .	s1:5	idylle	s2:11	prête	BEFORE
Quant à la ministre social - démocrate de la Justice , Herta Daeubler - Gmelin , elle a provoqué une belle polémique en comparant , selon un journal local , les méthodes du président américain George W. Bush à celles du dictateur nazi Adolf Hitler : le recours à la guerre face aux problèmes de politique intérieure .	Quant à la ministre social - démocrate de la Justice , Herta Daeubler - Gmelin , elle a provoqué une belle polémique en comparant , selon un journal local , les méthodes du président américain George W. Bush à celles du dictateur nazi Adolf Hitler : le recours à la guerre face aux problèmes de politique intérieure .	s1:18	provoqué	s2:21	polémique	BEGINS
Le rapport en question , remis à M. Boutros Boutros - Ghali , secrétaire général de la francophonie , dresse un constat très sévère de la gestion de l'AUF , en jugeant « impératif de créer une nouvelle agence universitaire sur du solide » .	Le rapport en question , remis à M. Boutros Boutros - Ghali , secrétaire général de la francophonie , dresse un constat très sévère de la gestion de l'AUF , en jugeant « impératif de créer une nouvelle agence universitaire sur du solide » .	s1:19	dresse	s2:21	constat	IDENTITY
Un haut dirigeant séparatiste kurde , Semdim Sakik , reconnu coupable de la mort de 283 personnes dans 191 attentats perpétrés par le PKK et accusé de séparatisme , a été condamné à mort hier par un tribunal turc .	Un haut dirigeant séparatiste kurde , Semdim Sakik , reconnu coupable de la mort de 283 personnes dans 191 attentats perpétrés par le PKK et accusé de séparatisme , a été condamné à mort hier par un tribunal turc .	s1:9	reconnu	s2:25	accusé	AFTER
_ Les retrouvailles de l'OM avec la Ligue des Champions , demain contre Sturm Graz , six ans après sa victoire dans cette compétition , s ' annoncent au plus mal au vu de la déliquescence de l'équipe phocéenne , très faible samedi à Montpellier en championnat ( 1 - 3 ) .	_ Les retrouvailles de l'OM avec la Ligue des Champions , demain contre Sturm Graz , six ans après sa victoire dans cette compétition , s ' annoncent au plus mal au vu de la déliquescence de l'équipe phocéenne , très faible samedi à Montpellier en championnat ( 1 - 3 ) .	s1:41	faible	s2:46	championnat	DURING
Bernard affirme qu'en se promenant , il a chuté et s ' est retrouvé à terre , la braguette ouverte .	Bernard affirme qu'en se promenant , il a chuté et s ' est retrouvé à terre , la braguette ouverte .	s1:13	retrouvé	s2:19	ouverte	SIMULTANEOUS
Au début des années 60 , au moment où il atteint sa pleine maturité , le jeune musicien rencontre James Brown , le roi du funk et de la soul .	Leur association durera plus de vingt ans .	s1:18	rencontre	s2:1	association	BEGUN_BY
Après la rencontre , les choix tactiques du technicien olympien faisaient l'objet de nombreux commentaires .	Gallas , impressionnant en charnière centrale en première période , a glissé arrière - droit en seconde , remplacé dans l'axe par Issa .	s1:2	rencontre	s2:16	seconde	DURING
Un juge de Boston ( Massachusetts ) devait décider , hier , de la peine que devra purger le Britannique Richard Reid , accusé d'avoir tenté de faire sauter en décembre 2001 un avion sur le vol Paris - Miami avec des chaussures piégées .	Un juge de Boston ( Massachusetts ) devait décider , hier , de la peine que devra purger le Britannique Richard Reid , accusé d'avoir tenté de faire sauter en décembre 2001 un avion sur le vol Paris - Miami avec des chaussures piégées .	s1:25	tenté	s2:36	vol	DURING
« Le petit tour en ville a tourné au saccage général et gratuit » .	« Le petit tour en ville a tourné au saccage général et gratuit » .	s1:3	tour	s2:7	tourné	DURING
Cette thèse est d'ailleurs confirmée par trois autres autres adolescentes , Jessica , Jennifer et Nadia , qui l'ont rencontré environ une heure plus tard .	Effrayées par cette rencontre , les jeunes ont rapporté les faits , après quelques hésitations .	s1:19	rencontré	s2:3	rencontre	IDENTITY
Aux Pays - Bas , l'hypothèse de législatives anticipées à l'automne semblait tenir la corde hier , au lendemain de la démission du gouvernement du Premier ministre travailliste Wim Kok .	Aux Pays - Bas , l'hypothèse de législatives anticipées à l'automne semblait tenir la corde hier , au lendemain de la démission du gouvernement du Premier ministre travailliste Wim Kok .	s1:11	semblait	s2:12	tenir	IDENTITY
Cinq vitrines brisées , un container brûlé , une quinzaine de jardinières arrachées et jetées dans la Mortagne , trois tentatives de vol de voitures et un véhicule incendié , une effraction et du vol d'outillage à la piscine municipale , des dégradations en série : la liste des méfaits et exactions commis entre 0 h 30 et 4 h mardi ressemble à une litanie sans fin ... « La bande , armée de manches de pioche et de gourdins , a semé le trouble dans la bourgade » : le substitut Weyland a requis la sévérité .	Cinq vitrines brisées , un container brûlé , une quinzaine de jardinières arrachées et jetées dans la Mortagne , trois tentatives de vol de voitures et un véhicule incendié , une effraction et du vol d'outillage à la piscine municipale , des dégradations en série : la liste des méfaits et exactions commis entre 0 h 30 et 4 h mardi ressemble à une litanie sans fin ... « La bande , armée de manches de pioche et de gourdins , a semé le trouble dans la bourgade » : le substitut Weyland a requis la sévérité .	s1:51	exactions	s2:52	commis	IDENTITY
« L' équipée sauvage » de la nuit de lundi à mardi à Rambervillers a connu son épilogue hier matin , devant le tribunal correctionnel d'Epinal : les cinq casseurs ont été conduits à la maison d'arrêt après leurs condamnations , en comparution immédiate , à des peines de prison ferme .	Cinq vitrines brisées , un container brûlé , une quinzaine de jardinières arrachées et jetées dans la Mortagne , trois tentatives de vol de voitures et un véhicule incendié , une effraction et du vol d'outillage à la piscine municipale , des dégradations en série : la liste des méfaits et exactions commis entre 0 h 30 et 4 h mardi ressemble à une litanie sans fin ... « La bande , armée de manches de pioche et de gourdins , a semé le trouble dans la bourgade » : le substitut Weyland a requis la sévérité .	s1:2	équipée	s2:6	brûlé	DURING
Les attentats du 11 septembre ont mis un coup de frein au tourisme aux Etats - Unis .	Les attentats du 11 septembre ont mis un coup de frein au tourisme aux Etats - Unis .	s1:6	mis	s2:8	coup	IDENTITY
Après la rencontre , les choix tactiques du technicien olympien faisaient l'objet de nombreux commentaires .	Après la rencontre , les choix tactiques du technicien olympien faisaient l'objet de nombreux commentaires .	s1:2	rencontre	s2:5	choix	DURING
Cinq vitrines brisées , un container brûlé , une quinzaine de jardinières arrachées et jetées dans la Mortagne , trois tentatives de vol de voitures et un véhicule incendié , une effraction et du vol d'outillage à la piscine municipale , des dégradations en série : la liste des méfaits et exactions commis entre 0 h 30 et 4 h mardi ressemble à une litanie sans fin ... « La bande , armée de manches de pioche et de gourdins , a semé le trouble dans la bourgade » : le substitut Weyland a requis la sévérité .	Cinq vitrines brisées , un container brûlé , une quinzaine de jardinières arrachées et jetées dans la Mortagne , trois tentatives de vol de voitures et un véhicule incendié , une effraction et du vol d'outillage à la piscine municipale , des dégradations en série : la liste des méfaits et exactions commis entre 0 h 30 et 4 h mardi ressemble à une litanie sans fin ... « La bande , armée de manches de pioche et de gourdins , a semé le trouble dans la bourgade » : le substitut Weyland a requis la sévérité .	s1:12	arrachées	s2:14	jetées	BEFORE
Les écuries de F1 Williams et McLaren , mécontentes des modifications apportées par la Fédération internationale dans les règlements du Championnat du monde 2003 , ont menacé de saisir le Tribunal arbitral du sport ( TAS ) pour rupture de contrat .	Les écuries de F1 Williams et McLaren , mécontentes des modifications apportées par la Fédération internationale dans les règlements du Championnat du monde 2003 , ont menacé de saisir le Tribunal arbitral du sport ( TAS ) pour rupture de contrat .	s1:8	mécontentes	s2:26	menacé	DURING
« Le petit tour en ville a tourné au saccage général et gratuit » .	« Le petit tour en ville a tourné au saccage général et gratuit » .	s1:7	tourné	s2:9	saccage	BEGINS
Une Alsacienne de 6 ans se noie .	_ Une fillette de 6 ans s ' est noyée mardi soir dans la piscine d'un centre de villégiature près d'Obernai .	s1:6	noie	s2:9	noyée	IDENTITY
